FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,54996.00,54996.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9615,Press Secretary,Annual,1,1,162492.00,162492.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,925,Photographer,Annual,1,1,62640.00,62640.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,744,Press Aide II,Annual,1,1,50004.00,50004.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,740,Press Aide I,Annual,1,1,45000.00,45000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,118500.00,118500.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9883,Assistant Administrative Secretary III,Annual,1,1,86796.00,86796.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9878,Assistant to the Director of Intergovernmental Affairs,Annual,1,1,135000.00,135000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,60408.00,60408.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,54996.00,54996.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9670,Director of Intergovernmental Affairs,Annual,1,1,168996.00,168996.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,135000.00,135000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,116652.00,116652.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,63516.00,63516.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,60408.00,60408.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,60000.00,60000.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,99996.00,99996.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,64992.00,64992.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,63516.00,63516.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,59808.00,59808.00
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,48000.00,48000.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3005,Administration,0,,1 00,9,9903,Inspector General,Annual,1,1,161856.00,161856.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 16,20,1304,Supervisor of Personnel Services,Annual,1,1,69684.00,69684.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,3 00,10,629,Principal Programmer/Analyst,Annual,1,1,83352.00,83352.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,3 00,10,123,Fiscal Administrator,Annual,1,1,69684.00,69684.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1695.00,1695.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,9,9659,Deputy Inspector General,Annual,1,1,126624.00,126624.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1262,Assistant Inspector General,Annual,2,1,97164.00,194328.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,BZ 13,1,308,Staff Assistant,Annual,1,1,61620.00,61620.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 00,9,1680,Director of Legal Investigation,Annual,1,1,126624.00,126624.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 00,0,1279,Assistant Director of Legal Investigation - IG,Annual,1,1,115008.00,115008.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,2,1,79464.00,158928.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,2,1,76116.00,152232.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,1,1,66648.00,66648.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 07,0,1221,Investigator II - IG,Annual,1,1,59436.00,59436.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,53844.00,53844.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 16,20,309,Coordinator of Special Projects,Annual,1,1,84780.00,84780.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BZ 13,1,308,Staff Assistant,Annual,1,1,58812.00,58812.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 15,20,305,Assistant to the Director,Annual,1,1,80916.00,80916.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 00,0,152,Senior Auditor - IG,Annual,1,1,79320.00,79320.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,3564.00,3564.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,3 00,0,1288,Forensic Audit Investigator,Annual,1,1,66180.00,66180.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,3 00,0,152,Senior Auditor - IG,Annual,2,1,79320.00,158640.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,3 00,0,152,Senior Auditor - IG,Annual,1,1,74274.00,74274.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,3 00,0,151,Auditor - IG,Annual,1,1,66180.00,66180.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,GY 06,20,1367,Assistant Compliance Officer,Annual,2,1,59436.00,118872.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,3 00,0,1216,Chief of Hiring Oversight,Annual,1,1,91260.00,91260.00
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,4477.00,4477.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,Administration,0,,1 00,9,9905,Budget Director,Annual,1,1,169992.00,169992.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,Administration,0,,1 00,9,9868,First Deputy Budget Director,Annual,1,1,140004.00,140004.00
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,City Council,0,,1 00,9,9611,Assistant Sergeant-At-Arms,Annual,1,1,59688.00,59688.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,Administration,0,,BX 14,20,318,Assistant to the Commissioner,Annual,1,1,52008.00,52008.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,Administration,0,,BX 15,20,305,Assistant to the Director,Annual,1,1,84780.00,84780.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,Administration,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,1346.00,1346.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,Revenue and Expenditure Analysis,0,,1 00,9,9656,Deputy Budget Director,Annual,2,1,110880.00,221760.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4110,Finance and Administration,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2282.00,2282.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,Revenue and Expenditure Analysis,0,,GY 08,20,1141,Principal Operations Analyst,Annual,1,1,87660.00,87660.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,Revenue and Expenditure Analysis,0,,3 00,9,1124,Assistant Budget Director,Annual,1,1,86736.00,86736.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,Revenue and Expenditure Analysis,0,,3 00,9,1124,Assistant Budget Director,Annual,1,1,82500.00,82500.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,Revenue and Expenditure Analysis,0,,GY 08,20,1107,Principal Budget Analyst,Annual,1,1,63480.00,63480.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,Revenue and Expenditure Analysis,0,,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,80256.00,80256.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,Revenue and Expenditure Analysis,0,,GY 07,20,1105,Senior Budget Analyst,Annual,1,1,62340.00,62340.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,Revenue and Expenditure Analysis,0,,3 00,0,229,Chief Revenue Analyst,Annual,1,1,96768.00,96768.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,Revenue and Expenditure Analysis,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,2439.00,2439.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3055,Management Initiatives,0,,3 00,9,1124,Assistant Budget Director,Annual,1,1,86736.00,86736.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3055,Management Initiatives,0,,BX 13,20,366,Staff Assistant - Excluded,Annual,1,1,64152.00,64152.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3060,Compensation and Technical Processing,0,,GY 08,20,635,Senior Programmer/Analyst,Annual,1,1,63480.00,63480.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3060,Compensation and Technical Processing,0,,3 00,0,601,Director of Information Systems,Annual,1,1,109032.00,109032.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3060,Compensation and Technical Processing,0,,BX 15,20,305,Assistant to the Director,Annual,1,1,59796.00,59796.00
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3060,Compensation and Technical Processing,0,,1 00,0,15,Schedule Salary Adjustments,Annual,0,0,237.00,237.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4105,Office of the CIO,1 00,9,9906,Chief Information Officer,Annual,1,1,154992.00,154992.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4105,Office of the CIO,1 00,9,9776,Managing Deputy Chief Information Officer,Annual,1,1,113640.00,113640.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4105,Office of the CIO,1 00,9,9775,First Deputy Chief Information Officer,Annual,1,1,128304.00,128304.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4105,Office of the CIO,BX 15,10,320,Assistant to the Commissioner,Annual,1,1,80916.00,80916.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4108,Project Management Office,3 00,0,649,Project Manager - DoIT,Annual,3,1,93504.00,280512.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4108,Project Management Office,3 00,0,649,Project Manager - DoIT,Annual,1,1,61008.00,61008.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4110,Finance and Administration,BX 16,20,1304,Supervisor of Personnel Services,Annual,1,1,80916.00,80916.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4110,Finance and Administration,BX 17,10,345,Contracts Coordinator,Annual,1,1,88812.00,88812.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4110,Finance and Administration,BZ 13,1,308,Staff Assistant,Annual,1,1,58812.00,58812.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4110,Finance and Administration,3 00,0,118,Director of Finance,Annual,1,1,90252.00,90252.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4110,Finance and Administration,G 05,4,102,Accountant II,Annual,1,1,76524.00,76524.00
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,Citywide IT Administration,4112,Technology Planning and Policy,1 00,9,9777,IT Director (DoIT),Annual,1,1,115008.00,115008.00
