FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE / GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,168996.00,168996.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,159492.00,159492.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,125004.00,125004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,124992.00,124992.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,110004.00,110004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,65004.00,65004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,2,1,46428.00,92856.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,50004.00,50004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,58002.00,58002.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,61002.00,61002.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,62796.00,62796.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,75336.00,75336.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,88002.00,88002.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9617,Administrative Secretary,Annual,1,1,48000.00,48000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9617,Administrative Secretary,Annual,1,1,44004.00,44004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9881,Assistant Administrative Secretary I,Annual,1,1,46428.00,46428.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9642,Deputy Press Secretary,Annual,1,1,130002.00,130002.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,93996.00,93996.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,0,9637,Administrative Assistant,Annual,2,1,44004.00,88008.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,110112.00,110112.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,2,1,110004.00,220008.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,65004.00,65004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9616,Assistant Press Secretary,Annual,1,1,60000.00,60000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,9615,Press Secretary,Annual,1,1,162492.00,162492.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,0925,Photographer,Annual,1,1,65424.00,65424.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,0744,Press Aide II,Annual,1,1,51696.00,51696.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3015,Office of the Press Secretary,0,,1 00,9,0740,Press Aide I,Annual,1,1,46428.00,46428.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9892,Office Manager - Washington D.C.,Annual,1,1,118500.00,118500.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9883,Assistant Administrative Secretary III,Annual,1,1,95478.00,95478.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9878,Assistant to the Director of Intergovernmental Affairs,Annual,1,1,116652.00,116652.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,72000.00,72000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9807,Legislative Assistant,Annual,1,1,56592.00,56592.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9670,Director of Intergovernmental Affairs,Annual,1,1,168996.00,168996.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,116652.00,116652.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,116004.00,116004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,75000.00,75000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,72000.00,72000.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,68502.00,68502.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,99996.00,99996.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,49968.00,49968.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,65004.00,65004.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,61740.00,61740.00
Local,1,OFFICE OF THE MAYOR,0100,CORPORATE FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3025,Legislative Counsel and Government Affairs,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,75000.00,75000.00
Local,1,OFFICE OF THE MAYOR,0310,MOTOR FUEL TAX FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9898,Deputy Chief of Staff,Annual,1,1,154992.00,154992.00
Local,1,OFFICE OF THE MAYOR,0310,MOTOR FUEL TAX FUND,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,105006.00,105006.00
Local,1,OFFICE OF THE MAYOR,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,150000.00,150000.00
Local,1,OFFICE OF THE MAYOR,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3010,Administrative,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,154008.00,154008.00
Local,1,OFFICE OF THE MAYOR,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3040,Office of International Relations,0,,1 00,9,9882,Assistant Administrative Secretary II,Annual,1,1,44004.00,44004.00
Local,1,OFFICE OF THE MAYOR,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3040,Office of International Relations,0,,1 00,9,9639,Assistant to Mayor,Annual,1,1,109998.00,109998.00
Local,1,OFFICE OF THE MAYOR,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3040,Office of International Relations,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,50004.00,50004.00
Local,1,OFFICE OF THE MAYOR,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1005,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,3040,Office of International Relations,0,,1 00,0,9637,Administrative Assistant,Annual,1,1,48000.00,48000.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 00,9,9903,Inspector General,Annual,1,1,161856.00,161856.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,BX 16,20,1304,Supervisor of Personnel Services,Annual,1,1,77280.00,77280.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,GY 08,20,1141,Principal Operations Analyst,Annual,1,1,66648.00,66648.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,3 00,10,0629,Principal Programmer/Analyst,Annual,1,1,83352.00,83352.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,3 00,10,0123,Fiscal Administrator,Annual,1,1,73248.00,73248.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,3111.00,3111.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1262,Assistant Inspector General,Annual,1,1,97164.00,97164.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1262,Assistant Inspector General,Annual,1,1,101700.00,101700.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,B 13,1,0308,Staff Assistant,Annual,1,1,63024.00,63024.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,1220.00,1220.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,315.00,315.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 00,9,9659,Deputy Inspector General,Annual,1,1,126624.00,126624.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 14,10,1727,Information Analyst (IGO),Annual,1,1,64152.00,64152.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 00,0,1260,Chief Investigator - IG,Annual,1,1,91260.00,91260.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,2,1,83100.00,166200.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,2,1,87660.00,175320.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,1,1,63480.00,63480.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 07,0,1221,Investigator II - IG,Annual,1,1,59436.00,59436.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,59436.00,59436.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,53844.00,53844.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 00,20,0641,Forensic Data Analyst,Annual,1,1,79320.00,79320.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,BX 15,20,0305,Assistant to the Executive Director,Annual,1,1,80916.00,80916.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,4488.00,4488.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,GY 08,20,1126,Senior Performance Analyst,Annual,5,1,63480.00,317400.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3027,Audit and Program Review,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,7968.00,7968.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,1 00,9,9659,Deputy Inspector General,Annual,1,1,126624.00,126624.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,GY 08,20,1368,Compliance Officer,Annual,2,1,63480.00,126960.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,3 00,0,1216,Chief of Hiring Oversight,Annual,1,1,91260.00,91260.00
Local,3,IG,0100,CORPORATE FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3035,Hiring Compliance,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,3125.00,3125.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,G 08,4,0673,Senior Data Base Analyst,Annual,1,1,75840.00,75840.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,1806.00,1806.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3010,Operations,0,,1 00,0,0011,Contract Wage Increment - Salary,Annual,0,0,379.00,379.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,1 00,9,1264,Attorney - IGO,Annual,1,1,72000.00,72000.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3015,Legal,0,,3 00,0,1262,Assistant Inspector General,Annual,1,1,101700.00,101700.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,3 00,0,1288,Forensic Audit Investigator,Annual,2,1,66180.00,132360.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,1,1,83100.00,83100.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,1,1,79464.00,79464.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 08,0,1222,Investigator III - IG,Annual,1,1,63480.00,63480.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,GY 06,0,1219,Investigator I - IG,Annual,1,1,59436.00,59436.00
Local,3,IG,0200,WATER FUND,1005,OFFICE OF INSPECTOR GENERAL,2005,OFFICE OF INSPECTOR GENERAL,3020,Investigations,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,3036.00,3036.00
