FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,ORGANIZATION CODE,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9876,Scheduler,Annual,1,1,62496.00,62496
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9876,Scheduler,Annual,1,1,42000.00,42000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9876,Scheduler,Annual,1,1,40008.00,40008
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9639,Assistant to Mayor,Annual,1,1,162492.00,162492
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9639,Assistant to Mayor,Annual,1,1,159492.00,159492
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9639,Assistant to Mayor,Annual,1,1,124992.00,124992
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9639,Assistant to Mayor,Annual,1,1,120000.00,120000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,0,9,9639,Assistant to Mayor,Annual,1,1,105000.00,105000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,0,9637,Administrative Assistant,Annual,1,1,90000.00,90000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,0,9637,Administrative Assistant,Annual,1,1,69684.00,69684
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,0,9637,Administrative Assistant,Annual,1,1,62796.00,62796
Local,100,CORPORATE FUND,15,CITY COUNCIL,1005,2005,CITY COUNCIL,3005,3005 City Council,0, ,100,9,9601,Alderman,Annual,4,1,110556.00,442224
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,0,9637,Administrative Assistant,Annual,1,1,62496.00,62496
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,0,9637,Administrative Assistant,Annual,1,1,53844.00,53844
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,0,9637,Administrative Assistant,Annual,3,1,40008.00,120024
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9617,Administrative Secretary,Annual,1,1,44004.00,44004
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3010,3010 Administrative,0, ,100,9,9617,Administrative Secretary,Annual,1,1,40008.00,40008
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,9881,Assistant Administrative Secretary I,Annual,1,1,35004.00,35004
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,9642,Deputy Press Secretary,Annual,1,1,116904.00,116904
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,0,9637,Administrative Assistant,Annual,1,1,94992.00,94992
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,9616,Assistant Press Secretary,Annual,1,1,99996.00,99996
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,9616,Assistant Press Secretary,Annual,1,1,96000.00,96000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,9616,Assistant Press Secretary,Annual,1,1,94992.00,94992
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,9616,Assistant Press Secretary,Annual,1,1,93996.00,93996
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,9616,Assistant Press Secretary,Annual,1,1,93000.00,93000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,0,9,9616,Assistant Press Secretary,Annual,1,1,54996.00,54996
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,9615,Press Secretary,Annual,1,1,162492.00,162492
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,744,Press Aide II,Annual,1,1,40008.00,40008
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3015,3015 Office of the Press Secretary,0, ,100,9,740,Press Aide I,Annual,1,1,45000.00,45000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9892,Office Manager - Washington D.C.,Annual,1,1,49998.00,49998
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9883,Assistant Administrative Secretary III,Annual,1,1,86796.00,86796
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9878,Assistant to the Director of Intergovernmental Affairs,Annual,1,1,115368.00,115368
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9807,Legislative Assistant,Annual,1,1,60408.00,60408
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9807,Legislative Assistant,Annual,1,1,54996.00,54996
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9670,Director of Intergovernmental Affairs,Annual,1,1,168996.00,168996
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9639,Assistant to Mayor,Annual,1,1,60408.00,60408
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9639,Assistant to Mayor,Annual,1,1,48000.00,48000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9639,Assistant to Mayor,Annual,1,1,63516.00,63516
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9639,Assistant to Mayor,Annual,1,1,135000.00,135000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,9,9639,Assistant to Mayor,Annual,1,1,116652.00,116652
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,0,9637,Administrative Assistant,Annual,1,1,64992.00,64992
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,0,9637,Administrative Assistant,Annual,1,1,63516.00,63516
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,0,9637,Administrative Assistant,Annual,1,1,59808.00,59808
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,0,9637,Administrative Assistant,Annual,1,1,48000.00,48000
Local,100,CORPORATE FUND,1,OFFICE OF THE MAYOR,1005,2005,OFFICE OF THE MAYOR,3025,3025 Legislative Counsel and Government Affairs,0, ,0,0,9637,Administrative Assistant,Annual,1,1,99996.00,99996
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3005,3005 Administration,0, ,100,9,9903,Inspector General,Annual,1,1,161856.00,161856
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,3010 Operations,0, ,BX16,20,1304,Supervisor of Personnel Services,Annual,1,1,66564.00,66564
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,3010 Operations,0, ,300,10,629,Principal Programmer/Analyst,Annual,1,1,83352.00,83352
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3010,3010 Operations,0, ,300,10,123,Fiscal Administrator,Annual,1,1,69684.00,69684
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,3015 Legal,0, ,100,9,9659,Deputy Inspector General,Annual,1,1,126624.00,126624
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,3015 Legal,0, ,300,0,1262,Assistant Inspector General,Annual,1,1,97164.00,97164
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3015,3015 Legal,0, ,BX13,20,308,Staff Assistant,Annual,1,1,57648.00,57648
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,100,9,1680,Director of Legal Investigation,Annual,1,1,126624.00,126624
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,0,0,1288,Forensic Audit Investigator,Annual,1,1,66180.00,66180
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,300,0,1279,Assistant Director of Legal Investigation - IG,Annual,1,1,115008.00,115008
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,300,10,1261,Assistant Chief Investigator - IG,Annual,2,1,76008.00,152016
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,BX16,10,1256,Supervising Investigator,Annual,2,1,77280.00,154560
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,BX16,10,1256,Supervising Investigator,Annual,1,1,59796.00,59796
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,BX14,10,1255,Investigator,Annual,1,1,49668.00,49668
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,BX15,20,1254,Investigator Specialist,Annual,1,1,54492.00,54492
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,BX16,20,309,Coordinator of Special Projects,Annual,1,1,84780.00,84780
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,BX13,20,308,Staff Assistant,Annual,1,1,73752.00,73752
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,BX15,20,305,Assistant to the Director,Annual,1,1,84780.00,84780
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3020,3020 Investigations,0, ,300,0,152,Senior Auditor - IG,Annual,1,1,76500.00,76500
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3026,3026 Audit and Policy Review,0, ,300,0,152,Senior Auditor - IG,Annual,2,1,76500.00,153000
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3026,3026 Audit and Policy Review,0, ,300,0,152,Senior Auditor - IG,Annual,1,1,74274.00,74274
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3026,3026 Audit and Policy Review,0, ,0,0,151,Auditor - IG,Annual,1,1,66180.00,66180
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,3035 Hiring Compliance,0, ,0,0,1369,Senior Compliance Officer,Annual,1,1,95004.00,95004
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,3035 Hiring Compliance,0, ,GY06,20,1367,Assistant Compliance Officer,Annual,2,1,56592.00,113184
Local,100,CORPORATE FUND,3,IG,1005,2005,OFFICE OF INSPECTOR GENERAL,3035,3035 Hiring Compliance,0, ,300,0,1262,Assistant Inspector General,Annual,1,1,97164.00,97164
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,3005 Administration,0, ,100,9,9905,Budget Director,Annual,1,1,169992.00,169992
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,3005 Administration,0, ,100,9,9868,First Deputy Budget Director,Annual,1,1,140004.00,140004
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,3005 Administration,0, ,300,0,705,Director Public Affairs,Annual,1,1,96456.00,96456
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,3005 Administration,0, ,BX15,20,305,Assistant to the Director,Annual,1,1,84780.00,84780
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3005,3005 Administration,0, ,15,20,305,Assistant to the Director,Annual,1,1,54492.00,54492
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,3050 Revenue and Expenditure Analysis,0, ,0,9,9656,Deputy Budget Director,Annual,1,1,113208.00,113208
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,3050 Revenue and Expenditure Analysis,0, ,0,9,9656,Deputy Budget Director,Annual,1,1,110880.00,110880
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,3050 Revenue and Expenditure Analysis,0, ,8,20,1141,Principal Operations Analyst,Annual,1,1,87660.00,87660
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,3050 Revenue and Expenditure Analysis,0, ,0,9,1124,Assistant Budget Director,Annual,1,1,82500.00,82500
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,3050 Revenue and Expenditure Analysis,0, ,8,20,1107,Principal Budget Analyst,Annual,1,1,69684.00,69684
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,3050 Revenue and Expenditure Analysis,0, ,7,20,1105,Senior Budget Analyst,Annual,1,1,80256.00,80256
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,3050 Revenue and Expenditure Analysis,0, ,7,20,1105,Senior Budget Analyst,Annual,1,1,59436.00,59436
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3050,3050 Revenue and Expenditure Analysis,0, ,0,0,229,Chief Revenue Analyst,Annual,1,1,96768.00,96768
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3055,3055 Management Initiatives,0, ,0,9,1124,Assistant Budget Director,Annual,1,1,82500.00,82500
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3055,3055 Management Initiatives,0, ,13,20,366,Staff Assistant - Excluded,Annual,1,1,63276.00,63276
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3060,3060 Compensation and Technical Processing,0, ,8,20,635,Senior Programmer/Analyst,Annual,1,1,76116.00,76116
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3060,3060 Compensation and Technical Processing,0, ,0,0,601,Director of Information Systems,Annual,1,1,109032.00,109032
Local,100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,1005,2005,OFFICE OF BUDGET & MANAGEMENT,3060,3060 Compensation and Technical Processing,0, ,15,20,305,Assistant to the Director,Annual,1,1,57084.00,57084
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4105,4105 Office of the CIO,100,9,9906,Chief Information Officer,Annual,1,1,141840.00,141840
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4105,4105 Office of the CIO,100,9,9776,Managing Deputy Chief Information Officer,Annual,1,1,123624.00,123624
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4105,4105 Office of the CIO,100,9,9775,First Deputy Chief Information Officer,Annual,1,1,128304.00,128304
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4105,4105 Office of the CIO,BX15,10,320,Assistant to the Commissioner,Annual,1,1,77280.00,77280
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4106,4106 Community Broadband and Digital Inclusion,0,9,9777,IT Director (DoIT),Annual,1,1,115008.00,115008
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4107,4107 Business Development Management,100,9,9777,IT Director (DoIT),Annual,1,1,116868.00,116868
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4107,4107 Business Development Management,100,9,9777,IT Director (DoIT),Annual,1,1,109860.00,109860
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4107,4107 Business Development Management,300,10,629,Principal Programmer/Analyst,Annual,1,1,102024.00,102024
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4108,4108 Project Management Office,300,0,310,Project Manager,Annual,3,1,93504.00,280512
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4108,4108 Project Management Office,300,0,310,Project Manager,Annual,1,1,76116.00,76116
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4110,4110 Finance and Administration,BX16,20,1304,Supervisor of Personnel Services,Annual,1,1,77280.00,77280
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4110,4110 Finance and Administration,BX17,10,345,Contracts Coordinator,Annual,1,1,88812.00,88812
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4110,4110 Finance and Administration,BX13,20,308,Staff Assistant,Annual,1,1,54492.00,54492
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4110,4110 Finance and Administration,BX15,10,134,Financial Analyst,Annual,1,1,80916.00,80916
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4110,4110 Finance and Administration,300,0,118,Director of Finance,Annual,1,1,90252.00,90252
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3105,3105 Citywide IT Administration,4110,4110 Finance and Administration,G05,4,102,Accountant II,Annual,1,1,76524.00,76524
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3110,3110 Enterprise Architect Management,4111,4111 Green IT Architecture,100,9,9778,Assistant Chief Information Officer,Annual,1,1,105828.00,105828
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3110,3110 Enterprise Architect Management,4116,4116 Server and Storage Architecture,300,0,310,Project Manager,Annual,1,1,102708.00,102708
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3110,3110 Enterprise Architect Management,4119,4119 Network Architecture,0,9,9777,IT Director (DoIT),Annual,1,1,118080.00,118080
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3110,3110 Enterprise Architect Management,4119,4119 Network Architecture,300,0,310,Project Manager,Annual,1,1,99336.00,99336
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,3115 Citywide Financial Systems,4130,4130 Financial Systems,100,9,9778,Assistant Chief Information Officer,Annual,1,1,91632.00,91632
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,3115 Citywide Financial Systems,4130,4130 Financial Systems,100,9,9777,IT Director (DoIT),Annual,1,1,111216.00,111216
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,3115 Citywide Financial Systems,4130,4130 Financial Systems,300,10,625,Chief Programmer/Analyst,Annual,1,1,110352.00,110352
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,3115 Citywide Financial Systems,4130,4130 Financial Systems,300,9,311,Projects Administrator,Annual,1,1,104352.00,104352
Local,100,CORPORATE FUND,6,DOIT,1005,2005,DOIT,3115,3115 Citywide Financial Systems,4140,4140 HR\Payroll Systems,100,9,9778,Assistant Chief Information Officer,Annual,1,1,88476.00,88476
